id,name,date,setter,passer,attack,serve
1,Alice,2026-04-01,8,6,7,5
2,Bob,2026-04-02,6,8,6,6
3,Carlos,2026-04-02,7,7,8,6
4,Dee,2026-04-02,5,5,4,4
5,Eva,2026-04-02,9,6,7,7
6,Frank,2026-04-02,4,6,5,5
7,Grace,2026-04-02,6,7,6,8
8,Heidi,2026-04-02,7,5,7,6
9,Ian,2026-04-02,3,4,3,4
10,Judy,2026-04-02,6,6,6,6
11,Kyle,2026-04-02,5,7,5,5
12,Liam,2026-04-02,8,7,8,7
13,Mona,2026-04-02,7,6,6,6
14,Nina,2026-04-02,6,5,7,6
15,Omar,2026-04-02,4,4,5,4
16,Paul,2026-04-02,6,6,6,6
17,Quinn,2026-04-02,5,5,5,5
18,Rita,2026-04-02,7,8,6,7
19,Sam,2026-04-02,2,3,2,3
